fecha,cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._precip.__(%),prob._de_nieve_(%),prob._de_tormenta_(%),avisos,dirección_viento,velocidad_del_viento,localizacion_id
2024-08-29 12:00:00,Nubes altas,21,21,25.0,0.0,0,69,95,0,75,Riesgo,S,7,acebeda-la-id28001
2024-08-29 13:00:00,Nubes altas,24,24,29.0,0.0,0,57,Riesgo,0,75,Riesgo,SE,12,acebeda-la-id28001
2024-08-29 14:00:00,Muy nuboso,23,23,33.0,0.0,0,59,100,0,80,Riesgo,S,14,acebeda-la-id28001
2024-08-29 15:00:00,Nubes altas,23,23,35.0,0.0,0,55,Riesgo,0,80,Riesgo,S,17,acebeda-la-id28001
2024-08-29 16:00:00,Nubes altas,21,21,34.0,0.0,0,65,Riesgo,0,80,Riesgo,S,20,acebeda-la-id28001
2024-08-29 17:00:00,Cubierto con tormenta y lluvia escasa,21,21,35.0,0.1,0,59,Riesgo,0,80,Riesgo,S,17,acebeda-la-id28001
2024-08-29 18:00:00,Nuboso,20,20,19.0,0.0,0,65,Riesgo,0,80,Riesgo,S,20,acebeda-la-id28001
2024-08-29 19:00:00,Nuboso,19,19,27.0,0.0,0,60,Riesgo,0,80,Riesgo,S,9,acebeda-la-id28001
2024-08-29 20:00:00,Nuboso,19,19,7.0,0.0,0,46,65,0,45,Riesgo,S,11,acebeda-la-id28001
2024-08-29 21:00:00,Nubes altas,18,18,9.0,0.0,0,52,Riesgo,0,45,Riesgo,NE,4,acebeda-la-id28001
2024-08-29 22:00:00,Nubes altas,17,17,10.0,0.0,0,58,Riesgo,0,45,Riesgo,NO,5,acebeda-la-id28001
2024-08-29 23:00:00,Cielo despejado,16,16,9.0,0.0,0,65,Riesgo,0,45,Riesgo,NO,7,acebeda-la-id28001
2024-08-30 00:00:00,Poco nuboso,15,15,6.0,0.0,0,70,Riesgo,0,45,Sin riesgo,NO,4,acebeda-la-id28001
2024-08-30 01:00:00,Intervalos nubosos con lluvia escasa,15,15,13.0,0.1,0,75,Riesgo,0,45,Sin riesgo,S,4,acebeda-la-id28001
2024-08-30 02:00:00,Nubes altas,14,14,13.0,0.0,0,90,15,0,15,Sin riesgo,N,6,acebeda-la-id28001
2024-08-30 03:00:00,Cielo despejado,14,14,13.0,0.0,0,100,15,0,15,Sin riesgo,N,8,acebeda-la-id28001
2024-08-30 04:00:00,Poco nuboso,14,14,9.0,0.0,0,100,15,0,15,Sin riesgo,N,8,acebeda-la-id28001
2024-08-30 05:00:00,Cubierto,13,13,6.0,0.0,0,100,15,0,15,Sin riesgo,N,5,acebeda-la-id28001
2024-08-30 06:00:00,Cubierto,13,13,6.0,0.0,0,100,Riesgo,0,15,Sin riesgo,N,4,acebeda-la-id28001
2024-08-30 07:00:00,Muy nuboso,13,13,6.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,4,acebeda-la-id28001
2024-08-30 08:00:00,Poco nuboso,12,12,8.0,0.0,0,100,80,0,70,Riesgo,N,2,acebeda-la-id28001
