,municipio_id,fecha,daystage,cielo,prob._precip.__(%),prob._de_nieve_(%),prob._de_tormenta_(%),dirección_viento,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),velocidad_del_viento
0,acebeda-la,2024-08-29,mediodia,Nubes altas,Muy alta,Baja,Alta,S,21.0,21.0,25.0,0.0,0.0,69.0,7.0
1,acebeda-la,2024-08-29,tarde,Nubes altas,Muy alta,Baja,Muy alta,S,22.0,22.0,30.83,0.02,0.0,60.0,16.67
2,acebeda-la,2024-08-29,noche,['Nubes altas' 'Nuboso'],Muy alta,Baja,Media,['NO' 'S'],17.8,17.8,12.4,0.0,0.0,56.2,7.2
3,acebeda-la,2024-08-30,madrugada,Poco nuboso,Baja,Baja,Baja,N,14.17,14.17,10.0,0.02,0.0,89.17,5.83
4,acebeda-la,2024-08-30,mediodia,['Cubierto' 'Poco nuboso'],Muy alta,Baja,Alta,['N' 'SE'],15.71,15.71,17.71,3.0,0.0,91.57,7.0
5,acebeda-la,2024-08-30,tarde,['Nubes altas' 'Poco nuboso'],Muy alta,Baja,Alta,SE,24.67,24.67,14.5,0.52,0.0,49.33,7.5
6,acebeda-la,2024-08-30,noche,Poco nuboso,Baja,Baja,Baja,['NO' 'S'],20.8,20.8,6.8,0.0,0.0,68.0,5.2
7,acebeda-la,2024-08-31,madrugada,['Nuboso' 'Poco nuboso'],Baja,Baja,Baja,O,15.17,15.17,5.33,0.0,0.0,94.5,2.0
8,acebeda-la,2024-08-31,mediodia,['Nubes altas' 'Nuboso'],Baja,Baja,Baja,NO,13.5,13.5,11.5,0.0,0.0,95.0,6.5
9,ajalvir,2024-08-29,mediodia,Cubierto con tormenta y lluvia escasa,Muy alta,Baja,Alta,E,24.0,24.0,15.0,0.1,0.0,64.0,8.0
10,ajalvir,2024-08-29,tarde,['Cubierto con tormenta y lluvia escasa' 'Nubes altas'],Muy alta,Baja,Alta,['E' 'S' 'SO'],26.5,26.5,29.33,0.03,0.0,49.33,10.33
11,ajalvir,2024-08-29,noche,Nubes altas,Muy alta,Baja,Alta,['E' 'NE'],21.4,21.4,20.0,1.66,0.0,69.4,15.8
12,ajalvir,2024-08-30,madrugada,Intervalos nubosos,Baja,Baja,Baja,N,18.5,18.5,22.33,0.13,0.0,94.83,14.83
13,ajalvir,2024-08-30,mediodia,Muy nuboso,Muy alta,Baja,Baja,NE,20.29,20.29,24.86,0.0,0.0,87.86,14.14
14,ajalvir,2024-08-30,tarde,Cubierto con lluvia escasa,Muy alta,Baja,Media,NE,28.0,28.67,21.33,0.08,0.0,53.0,12.67
15,ajalvir,2024-08-30,noche,Nubes altas,Baja,Baja,Baja,NE,22.6,22.6,13.8,0.02,0.0,85.2,9.6
16,ajalvir,2024-08-31,madrugada,['Cielo despejado' 'Muy nuboso'],Baja,Baja,Baja,NE,19.17,19.17,12.83,0.0,0.0,91.67,8.33
17,ajalvir,2024-08-31,mediodia,['Cielo despejado' 'Nubes altas'],Baja,Baja,Baja,['N' 'NE'],17.0,17.0,9.5,0.0,0.0,94.5,9.0
18,alameda-del-valle,2024-08-29,mediodia,Muy nuboso,Muy alta,Baja,Alta,E,23.0,23.0,23.0,0.0,0.0,64.0,6.0
19,alameda-del-valle,2024-08-29,tarde,Nubes altas,Muy alta,Baja,Alta,S,24.5,24.5,33.17,0.02,0.0,51.0,13.33
20,alameda-del-valle,2024-08-29,noche,Poco nuboso,Muy alta,Baja,Media,NO,17.6,17.6,10.8,0.02,0.0,60.2,8.0
21,alameda-del-valle,2024-08-30,madrugada,Poco nuboso,Baja,Baja,Baja,NO,12.33,12.33,12.33,0.0,0.0,86.33,5.67
22,alameda-del-valle,2024-08-30,mediodia,['Cielo despejado' 'Cubierto con lluvia'],Muy alta,Baja,Alta,NO,16.0,16.0,16.43,2.0,0.0,86.0,5.71
23,alameda-del-valle,2024-08-30,tarde,Nubes altas,Muy alta,Baja,Alta,['S' 'SE'],26.67,26.67,16.17,0.53,0.0,44.17,7.5
24,alameda-del-valle,2024-08-30,noche,Poco nuboso,Baja,Baja,Baja,NO,21.0,21.0,10.6,0.0,0.0,58.0,5.6
25,alameda-del-valle,2024-08-31,madrugada,Poco nuboso,Baja,Baja,Baja,N,12.83,12.83,11.67,0.0,0.0,88.83,5.5
26,alameda-del-valle,2024-08-31,mediodia,['Nubes altas' 'Poco nuboso'],Baja,Baja,Baja,['NO' 'O'],12.0,12.0,11.5,0.0,0.0,87.5,7.0
27,alamo-el,2024-08-29,mediodia,Cubierto con lluvia escasa,Alta,Baja,Alta,E,25.0,25.0,16.0,0.1,0.0,55.0,8.0
28,alamo-el,2024-08-29,tarde,['Intervalos nubosos con lluvia escasa' 'Nubes altas'],Muy alta,Baja,Alta,S,28.0,28.33,29.67,0.25,0.0,45.33,11.33
29,alamo-el,2024-08-29,noche,Poco nuboso,Muy alta,Baja,Alta,['N' 'NE'],21.4,21.4,18.4,0.04,0.0,85.6,13.0
30,alamo-el,2024-08-30,madrugada,Muy nuboso,Baja,Baja,Baja,NE,18.33,18.33,22.17,0.0,0.0,91.5,14.5
31,alamo-el,2024-08-30,mediodia,Muy nuboso,Muy alta,Baja,Baja,NE,20.71,20.71,26.71,0.0,0.0,85.57,17.43
32,alamo-el,2024-08-30,tarde,Nuboso,Muy alta,Baja,Media,NE,29.17,30.33,26.33,0.0,0.0,55.17,18.0
33,alamo-el,2024-08-30,noche,Nubes altas,Baja,Baja,Baja,NE,25.6,26.4,16.2,0.0,0.0,74.4,11.4
34,alamo-el,2024-08-31,madrugada,Poco nuboso,Baja,Baja,Baja,['E' 'NE'],20.17,20.17,15.67,0.0,0.0,87.0,10.83
35,alamo-el,2024-08-31,mediodia,['Cielo despejado' 'Nubes altas'],Baja,Baja,Baja,['N' 'NE'],18.5,18.5,9.0,0.0,0.0,90.0,7.0
36,alcala-de-henares,2024-08-29,mediodia,Nuboso con tormenta y lluvia escasa,Muy alta,Baja,Alta,SE,25.0,25.0,18.0,0.1,0.0,61.0,8.0
37,alcala-de-henares,2024-08-29,tarde,Cubierto,Muy alta,Baja,Muy alta,S,27.33,27.5,28.5,0.02,0.0,46.83,13.0
38,alcala-de-henares,2024-08-29,noche,Muy nuboso,Muy alta,Baja,Alta,['N' 'NE'],22.2,22.2,27.8,1.36,0.0,75.0,12.6
39,alcala-de-henares,2024-08-30,madrugada,['Cielo despejado' 'Poco nuboso'],Baja,Baja,Baja,NE,18.33,18.33,24.67,0.0,0.0,99.0,14.83
40,alcala-de-henares,2024-08-30,mediodia,['Cubierto' 'Muy nuboso'],Muy alta,Baja,Baja,NE,20.71,20.71,24.86,0.0,0.0,87.71,14.43
41,alcala-de-henares,2024-08-30,tarde,Cubierto,Muy alta,Baja,Alta,NE,28.83,30.0,20.83,0.02,0.0,52.83,13.0
42,alcala-de-henares,2024-08-30,noche,Poco nuboso,Baja,Baja,Baja,NE,23.2,23.2,13.4,0.0,0.0,80.2,8.4
43,alcala-de-henares,2024-08-31,madrugada,['Cielo despejado' 'Muy nuboso'],Baja,Baja,Baja,NE,19.0,19.0,11.5,0.0,0.0,89.17,6.0
44,alcala-de-henares,2024-08-31,mediodia,['Nuboso' 'Poco nuboso'],Baja,Baja,Baja,E,17.0,17.0,10.0,0.0,0.0,94.5,6.0
45,alcobendas,2024-08-29,mediodia,Cubierto con lluvia escasa,Muy alta,Baja,Alta,E,23.0,23.0,16.0,0.1,0.0,65.0,9.0
46,alcobendas,2024-08-29,tarde,['Cubierto con tormenta y lluvia escasa' 'Nubes altas'],Muy alta,Baja,Alta,S,26.5,26.83,28.83,0.35,0.0,54.83,10.83
47,alcobendas,2024-08-29,noche,"['Cielo despejado' 'Cubierto' 'Muy nuboso con lluvia escasa' 'Nubes altas'
 'Nuboso']",Muy alta,Baja,Alta,['N' 'NO'],21.8,21.8,21.8,0.02,0.0,69.0,15.4
48,alcobendas,2024-08-30,madrugada,Cubierto,Baja,Baja,Baja,N,19.33,19.33,24.67,0.02,0.0,88.0,14.67
49,alcobendas,2024-08-30,mediodia,Cubierto,Muy alta,Baja,Baja,NE,20.86,20.86,23.14,0.0,0.0,85.43,12.71
