,municipio_id,latitude,longitude,nombre
0,acebeda-la,41.0869583,-3.624399,La Acebeda
1,ajalvir,40.5342302,-3.4807818,Ajalvir
2,alameda-del-valle,40.9177178,-3.8438216,Alameda del Valle
3,alamo-el,40.2307296,-3.9905893,El Álamo
4,alcala-de-henares,40.4818396,-3.3644973,Alcalá de Henares
5,alcobendas,40.5400082,-3.6358494,Alcobendas
6,alcorcon,40.3492998,-3.8284295,Alcorcón
7,aldea-del-fresno,40.3215212,-4.19936,Aldea del Fresno
8,algete,40.5961652,-3.4974246,Algete
9,alpedrete,40.6599005,-4.0251223,Alpedrete
10,ambite,40.3289723,-3.1812115,Ambite
11,anchuelo,40.4653862,-3.2689196,Anchuelo
12,aranjuez,40.03221,-3.6039604,Aranjuez
13,arganda-del-rey,40.3007708,-3.4380688,Arganda del Rey
14,arroyomolinos,39.1855991,-6.1630632,Arroyomolinos
15,atazar-el,40.9343489,-3.4710919,El Atazar
16,batres,40.2091393,-3.9215947,Batres
17,becerril-de-la-sierra,40.7163374,-3.9890681,Becerril de la Sierra
18,belmonte-de-tajo,40.1336305,-3.3398654,Belmonte de Tajo
19,berrueco-el,40.8889705,-3.5614344,El Berrueco
20,berzosa-del-lozoya,40.9757802,-3.5236736,Berzosa del Lozoya
21,boadilla-del-monte,40.4053485,-3.8764663,Boadilla del Monte
22,boalo-el,40.7173359,-3.9202198,El Boalo
23,braojos,41.0400124,-3.6425888,Braojos
24,brea-de-tajo,40.2302134,-3.1092543,Brea de Tajo
25,brunete,40.4050499,-3.9979912,Brunete
26,buitrago-del-lozoya,40.9953477,-3.6350501,Buitrago del Lozoya
27,bustarviejo,40.8587766,-3.7097632,Bustarviejo
28,cabanillas-de-la-sierra,40.8216089,-3.6259742,Cabanillas de la Sierra
29,cadalso-de-los-vidrios,40.3014283,-4.4408876,Cadalso de los Vidrios
30,camarma-de-esteruelas,40.5490368,-3.3786211,Camarma de Esteruelas
31,campo-real,40.3381881,-3.3813911,Campo Real
32,canencia,40.9095894,-3.7375609,Canencia
33,carabana,40.256626,-3.2347206,Carabaña
34,casarrubuelos,40.1707803,-3.8308526,Casarrubuelos
35,cenicientos,40.2631894,-4.4669801,Cenicientos
36,cercedilla,40.7412931,-4.0558002,Cercedilla
37,cervera-de-buitrago,40.9211319,-3.5293404,Cervera de Buitrago
38,chapineria,40.379164,-4.2097254,Chapinería
39,chinchon,40.1408293,-3.4231474,Chinchón
40,ciempozuelos,40.1580087,-3.6205514,Ciempozuelos
41,cobena,40.5676083,-3.5048565,Cobeña
42,collado-mediano,40.6943707,-4.0247212,Collado Mediano
43,collado-villalba,40.6431496,-3.9930128,Collado Villalba
44,colmenar-del-arroyo,40.4179997,-4.1972768,Colmenar del Arroyo
45,colmenar-de-oreja,40.1074198,-3.3871634,Colmenar de Oreja
46,colmenarejo,40.5607257,-4.0165248,Colmenarejo
47,colmenar-viejo,40.6587726,-3.7659722,Colmenar Viejo
48,corpa,40.4235374,-3.2652482,Corpa
49,coslada,40.423802,-3.5552882,Coslada
50,cubas-de-la-sagra,40.1908352,-3.8378366,Cubas de la Sagra
51,daganzo-de-arriba,40.5451953,-3.45785,Daganzo de Arriba
52,escorial-el,40.5890661,-4.147394873409854,Real Monasterio de San Lorenzo de El Escorial
53,estremera,40.1847306,-3.1062403,Estremera
54,fresnedillas-de-la-oliva,40.486444,-4.1723486,Fresnedillas de la Oliva
55,fresno-de-torote,40.5922684,-3.4119681,Fresno de Torote
56,fuenlabrada,40.282476,-3.7923422,Fuenlabrada
57,fuente-el-saz-de-jarama,40.6312151,-3.5125918,Fuente el Saz de Jarama
58,fuentiduena-de-tajo,40.1185446,-3.160254,Fuentidueña de Tajo
59,galapagar,40.5774992,-4.0037748,Galapagar
60,garganta-de-los-montes,40.9216084,-3.6866546,Garganta de los Montes
61,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.96551504999999,-3.7077907634147276,Gargantilla del Lozoya y Pinilla de Buitrago
62,gascones,41.0185654,-3.641499,Gascones
63,getafe,40.3070639,-3.7331808,Getafe
64,grinon,40.2136607,-3.8581479,Griñón
65,guadalix-de-la-sierra,40.7822384,-3.7007794,Guadalix de la Sierra
